Product Name,Current Price,Old Price,Rating
Moroccan Argan Oil With Jojoba Oi L(with Vitamin C),KSh 550,KSh 650,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 550,"KSh 1,000",N/A
"Vitamin C Firming Anti Wrinkle,Anti Aging, Anti-Acne,Vitamin C Serum ..",KSh 499,KSh 899,3.8 out of 5
"Vitamin C Dr. Rashel 3 IN 1 SET Face Cleanser, Serum + Cream","KSh 1,298","KSh 1,500",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,299","KSh 1,900",N/A
"Vitamin C  Firming Anti Wrinkle,aging And Acne Serum",KSh 799,N/A,N/A
Vitamin C Dr. Rashel Face Serum + Cream + Toner,"KSh 1,299","KSh 1,500",N/A
Vitamin C Dr. Rashel Face Serum + Cream + Toner,"KSh 1,250","KSh 1,500",N/A
Vitamin C MÔOYAM Serum +Free Face Cleanser+Free Face Toner,KSh 799,"KSh 1,598",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 545,KSh 899,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,299","KSh 2,199",4.5 out of 5
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 550,"KSh 1,000",N/A
Vitamin C MÔOYAM Whitening Face Serum +Cream+ Toner,"KSh 1,598",N/A,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 615 - KSh 1,299","KSh 1,000 - KSh 2,199",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 590,KSh 999,N/A
Vitamin C Dr. Rashel Face Serum + Cream + Toner,"KSh 1,299","KSh 1,500",N/A
"Pei Mei Vitamin C,Hyaluronic Acid And Retinol C Face Serum Set-You Can Purchase Set Or Any Of The Items",KSh 370 - KSh 999,"KSh 700 - KSh 1,500",4.1 out of 5
ANTI-ACNE VITAMIN C SERUM ANTI-WRINKLES FIRMING ORANGE ESSENCE,KSh 399,KSh 639,N/A
Moroccan Argan Oil Argan Oil -NATURES SECRET WITH VITAMIN E & C,KSh 699,"KSh 1,250",5 out of 5
Dr. Rashel Vitamin C Face Serum -50ml Dr Rashel.,KSh 590,KSh 950,4.3 out of 5
Some By Mi Galactomyces Pure Vitamin C Glow Serum 30ml,"KSh 3,099","KSh 3,850",N/A
Moroccan Argan Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 650,"KSh 1,200",N/A
Dr. Rashel Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 417,KSh 650,5 out of 5
Moroccan Argan Oil -NATURES SECRET WITH VITAMIN E & C,"KSh 1,050",N/A,5 out of 5
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 599,KSh 800,N/A
"Pei Mei 3 Powerful Facial Serum Set - Vitamin C, Hyaluronic Acid And Retinol C Serums",KSh 999,"KSh 1,200",N/A
"Lundborly Vitamin C Firming Anti Wrinkle, Anti Aging,Vitamin C Serum",KSh 370,KSh 700,3.9 out of 5
Moroccan Argan Oil Argan Oil -NATURES SECRET WITH VITAMIN C & E,KSh 569,"KSh 1,198",5 out of 5
Moroccan Argan Oil NATURES SECRET WITH VITAMIN E & C- 200ml,KSh 599,KSh 800,N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum,KSh 459,KSh 800,4 out of 5
Dr. Rashel Vitamin C Face Serum -50ml Dr Rashel.,KSh 551,"KSh 1,050",3.9 out of 5
Dr. Rashel Brightening & Anti-Aging Vitamin C Serum,KSh 569,"KSh 1,800",5 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Ageing Eye Serum,KSh 499,KSh 800,4.3 out of 5
Dr. Rashel Anti-aging Moisturizing Vitamin C Facial Serum Set 3 Pack,"KSh 1,198","KSh 1,800",N/A
Dr. Rashel Vitamin C Brightening And Anti-aging Face Serum,KSh 600,"KSh 1,000",4.1 out of 5
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum,KSh 699,"KSh 1,200",5 out of 5
Moroccan Oil Oil Natural Morrocan Argan Oil Vitamin C & E Included,"KSh 1,199",N/A,N/A
"Mabox Vitamin C 20%, Hyaluronic Acid,Vitamin E Anti Aging Serum.","KSh 1,550","KSh 1,800",4.8 out of 5
"Moroccan Oil Argan Oil Natures Secret With Vitamin C And E, Dark Spots",KSh 809,KSh 899,4.7 out of 5
Moroccan Oil Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 950,"KSh 1,000",N/A
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 699,"KSh 1,000",N/A
"Bqb  Firming Anti Aging And Anti Acne, Vitamin C Serum",KSh 899,KSh 999,N/A
"Jamieson Brightening Serum With Vitamin C,Hyaluronic Acid & Aloe Vera","KSh 3,499",N/A,N/A
Dr. Rashel Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 750,"KSh 1,300",N/A
Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 900,N/A,N/A
Moroccan Argan Oil Oil NATURES SECRET WITH VITAMIN E & C,"KSh 2,299","KSh 2,500",N/A
Jamieson Vitamin C Brightening Serum With Hyaluronic Acid-30mL,"KSh 3,499",N/A,N/A
Moroccan Argan Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,500",N/A
Moroccan Argan Oil  Natural Morrocan Argan Oil Vitamin C & E Included,KSh 699,"KSh 1,000",N/A
Moroccan Argan Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,400",N/A
Moroccan Argan Oil  Natural Morrocan Argan Oil Vitamin C & E Included,KSh 599,"KSh 1,000",N/A
Jamieson Vitamin C Brightening Serum With Hyaluronic Acid -30mL,"KSh 3,499",N/A,N/A
"Moroccan Argan Oil  NATURES SECRET, WITH VITAMIN E & C",KSh 593,KSh 800,N/A
Dr. Rashel Brightening & Anti-Aging Vitamin C Serum,KSh 550,KSh 800,N/A
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 799,"KSh 1,400",N/A
Moroccan Argan Oil NATURES SECRET WITH VITAMIN E & C,KSh 799,"KSh 1,400",N/A
"Pei Mei Vitamin C, Retinol C & Hyaluronic-Acid-30ml.",KSh 700,"KSh 1,390",N/A
Moroccan Argan Oil NATURES SECRET WITH VITAMIN E & C,"KSh 2,800","KSh 3,000",N/A
"QBD Firming Anti Aging And Anti Acne, Vitamin C Serum","KSh 3,991","KSh 4,191",N/A
Moroccan Argan Oil  Argan Oil Argan Oil -NATURES SECRET WITH VITAMIN E & C,KSh 799,"KSh 1,500",N/A
Fruit Of The Wokali Vitamin C Facial Serum-40ml,KSh 570,KSh 800,3.9 out of 5
Vitamin C Brightening and Anti-aging Eye serum with Hyaluronic Acid and Collagen,KSh 900,N/A,N/A
Moroccan Argan Oil NATURES SECRET WITH VITAMIN E & C,KSh 799,"KSh 1,400",N/A
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 599,"KSh 1,000",N/A
Moroccan Argan Oil  Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,500",N/A
Moroccan Argan Oil NATURES SECRET WITH VITAMIN E & C,"KSh 1,399","KSh 1,600",5 out of 5
Dr. Rashel Brightening & Anti-Aging Vitamin C Serum,KSh 699,"KSh 1,200",N/A
Dr. Rashel Vitamin C Brightening And Anti-Aging Eye Serum,KSh 593,KSh 700,5 out of 5
Moroccan Argan Oil Argan Oil Lightening Serum With Vitamin C & E-200ml,"KSh 1,200","KSh 1,800",N/A
Mabox Anti Wrinkle Vitamin C Anti-aging Face Serum 30ml,KSh 849,"KSh 1,099",N/A
Moroccan Argan Oil  Natural Morrocan Argan Oil Vitamin C & E Included,KSh 699,"KSh 1,300",N/A
Moroccan Argan Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,400",N/A
Moroccan Argan Oil Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,500",N/A
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 699,"KSh 1,000",N/A
Dr. Rashel Brightening & Anti-Aging Vitamin C Serum,"KSh 1,200",N/A,N/A
Boots Vitamin C Brightening Booster Serum 15ml,"KSh 4,650","KSh 5,200",N/A
Moroccan Argan Oil  Natural Morrocan Argan Oil Vitamin C & E Included,KSh 699,"KSh 1,300",N/A
Moroccan Argan Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,400",N/A
Moroccan Argan Oil Oil Nature Secret With Vitamin C&E Lightening Oil - 200ml,KSh 799,"KSh 1,500",N/A
Moroccan Argan Oil Natural Morrocan Argan Oil Vitamin C & E Included,KSh 699,"KSh 1,000",N/A
Dr. Rashel Brightening & Anti-Aging Vitamin C Serum,"KSh 1,200",N/A,N/A
5 MINERALS VITAMIN C FACE SERUM,"KSh 1,000","KSh 1,600",N/A
DR MEINAIER  VITAMIN C skin brightening and whightening Face & Body Serum,"KSh 1,000","KSh 1,500",N/A
Moroccan Argan Oil NATURES SECRET WITH VITAMIN E & C,KSh 570,"KSh 1,000",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum,KSh 473,N/A,N/A
Dr. Rashel Brightening & Anti-Aging Vitamin C Serum,KSh 550,"KSh 1,100",N/A
Moroccan Argan Oil  NATURES SECRET WITH VITAMIN E & C,KSh 689,"KSh 1,199",N/A
QBD Skin care vitamin c serum,"KSh 1,500","KSh 2,000",N/A
"Pei Mei  Vitamin C, Retinol C & Hyaluronic-Acid",KSh 700,KSh 800,N/A
Vitamin C Face Serum with Niacinamide Hyaluronic Acid Moisturizing Serum Anti-Aging Anti-acne Facial Serum,KSh 499,KSh 649,N/A
Dr. Rashel Vitamin C Face Serum -50ml.,KSh 950,"KSh 1,400",N/A
The Purest Solutions Caffeine 5% + Vitamin C Radiance Eye Contour Serum 30ml,"KSh 3,400",N/A,N/A
Disaar Vitamin C Whitening Serum Hyaluronic Acid -30ml,KSh 798,"KSh 1,399",N/A
Black Facial Mask - 120ml + Vitamin C Serum - 30ml(Whitening&Rejuvenating System),KSh 703,KSh 816,N/A
Pei Mei Brightening Vitamin C Serum,KSh 419,KSh 533,N/A
Dr Davey Vitamin C 20% + Vitamin E + Hydraulic Acid With Anti Aging Brightening Serum,KSh 441,KSh 589,N/A
"Moroccan Argan Oil Nature Secret With Vitamin C&E Lightening Oil  For corrector, Nourrissant, Moisturizing - 200ml",KSh 795,"KSh 1,200",N/A
Dr. Rashel Vitamin C Face Serum -50ml Dr Rashel.,KSh 998,"KSh 1,050",N/A
Dr. Rashel Vitamin C Brightening & Anti-Aging Eye Serum,KSh 470,KSh 500,N/A
Csk 90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 389,KSh 550,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 550,"KSh 1,000",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 545,KSh 899,N/A
Csk 90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 399,N/A,3.5 out of 5
White Secret  Concentrate Lightening Unifying Complexion Vitamin E Serum,KSh 599,KSh 800,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,299","KSh 1,900",N/A
BIOAQUA 10 Pack Hyaluronic Acid Vitamin Complex B6 Ampules,"KSh 1,859","KSh 3,500",5 out of 5
Aichun Beauty Natural Vitamin E Face Serum Brightening Lifting Eyes,KSh 799,"KSh 1,400",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,299","KSh 2,199",4.5 out of 5
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 550,"KSh 1,000",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 615 - KSh 1,299","KSh 1,000 - KSh 2,199",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,KSh 590,KSh 999,N/A
SADOER SADOER_EVENING PRIMEROSE VITAMIN E SERUM soft easy to absorb high moisturizing power and skin feels refreshed. 30ml,KSh 350,N/A,N/A
Disaar Vitamin E Beauty Skin Care Face Moisturizing Serum,KSh 760,"KSh 1,590",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,900",N/A,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,"KSh 1,000",N/A,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,900",N/A,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,289","KSh 1,999",N/A
Dr. Rashel  Vitamin E Dark Spots Corrector Face Serum,KSh 589,KSh 999,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,289","KSh 1,799",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,900",N/A,N/A
Disaar Vitamin E Beauty Skin Care Moisturizing Serum,KSh 620,"KSh 1,306",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,299","KSh 1,900",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,299","KSh 1,900",N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Serum,"KSh 1,000",N/A,N/A
Dr. Rashel Vitamin E Dark Spots Corrector Face Cream+serum+toner,"KSh 1,900",N/A,N/A
Dr. Rashel Aloe Vera Collagen With Vitamin E Face Serum,KSh 500,KSh 800,4.8 out of 5
"Mekis Rosehip Seed ,Argan ,Sweet Almond & Vitamin E Oil-Anti-aging, Collagen Production",KSh 770,KSh 798,4.6 out of 5
Dr. Rashel Aloe Vera Collagen + Vitamin E Face Serum + Moisture Cream,"KSh 1,000",N/A,5 out of 5
Hemani VITAMIN E ESSENTIAL OIL,KSh 899,"KSh 1,050",4.3 out of 5
"Mekis Extra Virgin Olive&Vitamin E Oil - 60ml,Stimulate Collagen Production,For Glowing&Healthy Skin&Face",KSh 450,KSh 652,4.7 out of 5
Dr. Rashel Beard Oil With Argan Oil Vitamin E 50ml + Free Beard Comb,KSh 485,KSh 500,4.5 out of 5
Fruit Of The Wokali Ultra Pure Vitamin E Anti- Aging  Anti wrinkle Serum - 40m,KSh 690,"KSh 1,300",N/A
"Mekis ExtraVirgin Olive & Vitamin E Oil -30ml,Stimulate Collagen Production,For Glowing&Healthy Skin&Face",KSh 305,KSh 420,4.5 out of 5
"Mekis Sweet Almond & Vitamin E Oil-Lighten Marks,Reduce Puffiness",KSh 380 - KSh 620,KSh 496 - KSh 750,4.6 out of 5
Aichun Beauty Aloe Vera 99% Collagen +Vitamin E Face Serum,KSh 451,N/A,N/A
Fantasia IC Vitamin A E Beta Carotene Hair Polisher Carrot Growth Serum,KSh 950,N/A,N/A
Dr. Rashel Aloe Vera Collagen + Vitamin E Face Serum + Moisture Cream,"KSh 1,000",N/A,4 out of 5
Fruit Of The Wokali Ultra Plus Vitamin E Multifunction Essence Antiaging Serum,KSh 680,"KSh 1,000",N/A
"Mekis Rosehip Seed,Argan,Sweet Almond&VitaminE Oil 30ml,Anti-aging",KSh 435,KSh 499,4 out of 5
Aunt Jackie'S E-blast Vitamin E & Flaxseed Nourishing Scalp Remedy,"KSh 1,700",N/A,3.8 out of 5
Mekis Extra Virgin Olive & Vitamin E Oil - 60ml,KSh 699,"KSh 1,245",N/A
"Mekis Grapeseed With Vitamin E Oil-For Acne,Dull Skin,Hair Growth","KSh 620 - KSh 1,120","KSh 750 - KSh 1,542",N/A
Bajaj Almond Oil Hair Drops With Vitamin E Essential Oil HAIRFALL BREAKAGE - 300ml,"KSh 2,250",N/A,N/A
Dr. Rashel Brightening AntiAging Vitamin CFace Cream & Serum,"KSh 2,499","KSh 3,200",N/A
Smart Mega Hold Styling Gel With Pro Vitamin,KSh 898,"KSh 1,700",N/A
Aunt Jackie'S E-blast Vitamin E & Flaxseed Nourishing Scalp Remedy,"KSh 1,800","KSh 2,000",N/A
Dr. Rashel Beard Oil With Argan Oil Vitamin E For Men - 50ml,KSh 520,KSh 625,3.8 out of 5
Wild Earth Botanics PURE VITAMIN E OIL,"KSh 2,400","KSh 3,008",N/A
Hemani VITAMIN E ESSENTIAL OIL,"KSh 1,797",N/A,N/A
Go Care Vitamin Repair Serum - 80ml,KSh 840,N/A,N/A
Aichun Beauty Skincare Snail Collagen + Vitamin E Face Serum For All Face,KSh 384,KSh 567,N/A
Csk 90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 254,KSh 270,4 out of 5
Csk SHARE THIS PRODUCT   Csk_90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 233,KSh 248,N/A
Csk Csk_90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 250,N/A,N/A
Csk 90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 285,KSh 500,4.7 out of 5
90pcs Vitamin E oil Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream Essence VE Facial Freckle Capsule,KSh 270,KSh 400,N/A
Pure White Gold Glowing 4 Dark Spot Corrector Revitalizing Fade Serum,"KSh 1,000",N/A,N/A
Csk 90pcs Vitamin E Essence Capsules Anti-aging Serum Spot Acne Removing Whitening Cream  Capsule,KSh 295,N/A,4.2 out of 5
"Mabox Hyaluronic Acid,Vitamin C&E Anti- Aging Serum",KSh 900,"KSh 1,800",3.9 out of 5
